New Customer,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89
Customer,,Piccard Pet Supplies,,,,Billing Volume,,,,Product Mapping,,,,,,,,Customer P&L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Darwin Accounts,,,,,,Exp Plus,Priority,Expedited,Ground,Exp Plus,Priority,Expedited,Ground,Direct,Linehaul,,,,Exp Plus,Priority,Expedited,Ground,Total,Total Per Pickup,,# of Weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,-,,,,,,,,,,112,,,,,,,,,,112,,,,,,,,,,112,,,,,,,,,,112,,,,,,,,,,112,,,,,,,,,,112,,,,,,,,,,112,,,,,,,,,,112,,,,,,,,
128,-,,,,,,,,,,128,,,,,,,,,,128,,,,,,,,,,128,,,,,,,,,,128,,,,,,,,,,128,,,,,,,,,,128,,,,,,,,,,128,,,,,,,,,,128,,,,,,,,
144,-,,,,,,,,,,144,,,,,,,,,,144,,,,,,,,,,144,,,,,,,,,,144,,,,,,,,,,144,,,,,,,,,,144,,,,,,,,,,144,,,,,,,,,,144,,,,,,,,
160,-,,,,,,,,,,160,,,,,,,,,,160,,,,,,,,,,160,,,,,,,,,,160,,,,,,,,,,160,,,,,,,,,,160,,,,,,,,,,160,,,,,,,,,,160,,,,,,,,
176,-,,,,,,,,,,176,,,,,,,,,,176,,,,,,,,,,176,,,,,,,,,,176,,,,,,,,,,176,,,,,,,,,,176,,,,,,,,,,176,,,,,,,,,,176,,,,,,,,
192,-,,,,,,,,,,192,,,,,,,,,,192,,,,,,,,,,192,,,,,,,,,,192,,,,,,,,,,192,,,,,,,,,,192,,,,,,,,,,192,,,,,,,,,,192,,,,,,,,
208,-,,,,,,,,,,208,,,,,,,,,,208,,,,,,,,,,208,,,,,,,,,,208,,,,,,,,,,208,,,,,,,,,,208,,,,,,,,,,208,,,,,,,,,,208,,,,,,,,
224,-,,,,,,,,,,224,,,,,,,,,,224,,,,,,,,,,224,,,,,,,,,,224,,,,,,,,,,224,,,,,,,,,,224,,,,,,,,,,224,,,,,,,,,,224,,,,,,,,
240,-,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,
256,-,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,
272,-,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,
288,-,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,
304,-,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,
320,-,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,
336,-,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,
352,-,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,
368,-,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,
384,-,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,
